TOT_POP,% Asian-alone,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,0-19 %,20-49 %,50+ %,TOT_POP_log,% Asian-alone_log,GQ_ESTIMATES_2018_log,R_INTERNATIONAL_MIG_2018_log,Civilian_labor_force_2018_log,Employed_2018_log,Total nurse practitioners (2019)_log,Total physician assistants (2019)_log,Total Hospitals (2019)_log,Internal Medicine Primary Care (2019)_log,Family Medicine/General Practice Primary Care (2019)_log,Total Specialist Physicians (2019)_log,Heart disease_prevalence
26625,0.334272301,303,10.0,1.3,1.5,14.1,35.4,18.8,15.5,23.3,21.3,50374,12456,11696,50374,88.9,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,49.7,38.6,11.3,13.7,3.8,6,25.104225352112675,32.23286384976526,42.66291079812206,10.189793678807979,1.6741524745130558,5.730099782973574,1.8718021769015913,9.430359045942868,9.367429587218957,2.819773985554042,2.713127535596664,1.683349249242074,3.2088459162808087,3.046558030212809,4.078872631806526,10.1
51266,0.450591035,1302,13.1,-3.4,0.0,10.2,48.4,17.6,15.0,20.9,18.8,45761,22421,21317,45761,75.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,46.7,33.2,9.9,13.1,3.5,5,21.50157999453829,31.908087231303398,46.59033277415831,10.844880569171112,1.6957240495842156,7.175489713624222,1.6094379124341003,10.017976279020827,9.96749468251042,3.4974963893846684,3.321169358019697,1.757269248803678,3.8401959570964532,3.5215619734923727,4.719809789345006,9.2
37779,1.042907435,5022,9.2,1.5,0.6,10.8,43.8,16.1,12.2,14.8,13.3,54718,16882,16245,54718,98.2,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,47.0,33.7,9.2,12.2,2.9,2,23.910108790597953,39.74694936340295,36.3429418459991,10.539641011575952,1.7988852595391187,8.522578663692576,1.7227665977411035,9.734299374132137,9.695848187757884,3.198424634436411,2.279362304001046,1.748365777324192,2.988370823445285,3.1680034048479753,3.9917529241267724,7.3
91984,1.489389459,1216,9.1,1.4,0.5,7.9,32.8,24.3,9.8,12.5,10.8,61849,44792,43309,61849,119.1,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,46.9,36.5,8.1,11.2,3.0,3,25.883849365106975,37.393459732127326,36.7226909027657,11.429424283665295,1.8701684521767301,7.107425474110705,1.7047480922384253,10.709896451875155,10.676231187367216,3.446295846554219,3.556673354614679,2.0688854394379734,3.577097891475223,4.055624450946788,4.7340466814949185,7.8
134487,2.993597894,4326,10.3,1.7,2.3,8.9,36.4,21.2,17.3,27.6,25.2,48413,62865,60219,48413,85.5,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,48.0,37.5,9.6,12.5,3.4,4,25.551912080721557,36.52323272881394,37.924855190464505,11.80925999670115,2.0786409580482634,8.373553741214627,1.9878743481543455,11.048824381377107,11.005826222945052,4.166161941982877,4.023514712022424,1.9369276742925827,4.651699354412916,4.454749805235897,5.628198436935555,8.4
883305,35.91103866,24235,7.5,2.6,7.2,11.5,12.3,57.1,10.1,10.9,11.1,110601,575567,562022,110601,147.0,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,23.9,16.8,3.8,8.8,2.3,1,15.01938741431329,51.583541358873774,33.39707122681293,13.691431493851072,3.711399920521483,10.09575944018325,2.501435951739211,13.263119607919862,13.23930517042644,5.855625160255508,5.202829326677548,2.5662128188041513,6.22329750256209,5.841716295731074,7.183378000375288,4.6
20299,0.669983743,89,11.4,-1.3,0.1,18.7,41.8,10.4,20.5,33.6,34.1,48708,9182,8778,48708,83.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,46.1,32.9,10.6,15.5,3.9,4,24.46918567417114,34.94260801024681,40.58820631558205,9.918573189954168,1.735186250539783,4.543294782270004,1.62924053973028,9.125544720271467,9.080573313917117,2.6596515387659334,2.4353640691117495,1.66388832427749,2.6814216327031097,2.4494579515532395,3.3903548051328407,9.1
2801,0.714030703,96,8.6,6.8,7.2,13.2,33.6,20.6,10.2,14.0,13.1,53107,1557,1512,53107,93.1,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,40.4,30.4,6.1,10.3,3.1,6,27.240271331667262,32.63120314173509,40.12852552659764,7.939515260662406,1.74292467708781,4.61512051684126,2.501435951739211,7.3537223303996315,7.324489979348532,1.8720672900636834,1.8377928181417256,1.6449920636878896,1.80439399374795,1.904733337874833,2.084621306008418,7.8
628195,5.128980651,8038,9.7,-0.3,1.2,6.1,28.8,40.5,5.7,6.6,6.0,88538,341069,328286,88538,145.4,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,39.3,29.8,6.4,10.7,2.7,2,22.610335962559397,35.306234529087305,42.0834295083533,13.350613866086682,2.3154006864451593,8.99255742690407,1.824549292051046,12.739854741520304,12.70165568916326,5.853643713973204,5.64568822576508,2.691994345737475,6.242125700773707,5.88154113084557,7.183824847546214,6.3
4341,1.243953006,573,11.0,-0.7,0.0,20.1,42.0,11.6,24.3,29.4,26.9,29515,1624,1534,29515,62.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,48.3,35.7,5.8,14.3,3.8,6,22.96705828150196,38.60861552637641,38.42432619212163,8.377011160816375,1.8316134763596486,6.359573868672378,1.6094379124341003,7.395721608602045,7.338888133838879,1.9625185360759385,1.8086361652571843,1.626282793240803,1.9499232893391791,1.9948807481018562,2.39747374696884,7.6
284081,2.868900067,4743,9.8,2.7,1.5,12.3,32.0,22.6,16.1,27.2,25.3,53795,141196,133101,53795,82.7,110.6573385,55.56278212,4.169438305,215.1831502,134.9827781,476.7875332,42.7,32.9,8.6,11.9,3.3,3,25.723297228607333,36.61385309119582,37.66284968019684,12.557032288204967,2.062918289891573,8.465478755729558,1.8718021769015913,11.857939686169175,11.798901082255234,4.750631841052544,4.103680547968309,2.2158760308481327,5.394459700924775,4.941519401471086,6.177503214378997,7.8
8758,0.319707696,90,9.2,3.9,-0.2,15.1,42.8,11.0,12.0,16.3,14.8,56769,4089,3919,56769,113.1,5.750595403,1.932545013,0.205798404,3.87096998,3.72397112,12.65366187,51.0,38.7,11.9,14.0,3.3,4,27.631879424526147,35.16784654030601,37.200274035167844,9.07829359105585,1.671418357483154,4.553876891600541,1.5686159179138452,8.317277766221235,8.274866820685254,2.3749611393654875,1.9362269915267452,1.6497730820423353,2.1827841454723025,2.1660745379258337,2.870943233248196,9.8
1952,0.256147541,2,2.6,8.7,0.0,10.3,31.7,18.7,10.2,12.9,12.0,68243,873,837,68243,104.6,1.173649512,0.582972515,0.100158273,0.901424461,1.507510423,2.319049254,48.6,36.9,7.6,12.2,3.3,4,27.100409836065573,28.07377049180328,44.825819672131146,7.579167967396076,1.6593983517548416,1.9459101490553132,1.6094379124341003,6.777646593635117,6.7357800142423265,1.820290156085038,1.719721343335629,1.6292715731703065,1.775193755838956,1.872956959575658,1.9904804362043163,8.9
180454,1.132698638,3338,13.7,-3.6,0.1,11.9,37.5,24.9,17.1,26.0,22.7,41926,82263,78000,41926,95.2,94.1326037,66.75220729,5.595993426,97.53017113,124.0112115,280.0994566,52.2,37.4,12.1,14.7,3.6,4,22.061023862036862,36.010285169627714,41.928690968335424,12.103258884138924,1.8136348876573194,8.114623886420098,1.62924053973028,11.31773748966935,11.26452820618135,4.59645838520981,4.273218617790233,2.36047595098683,4.630157107753074,4.859899311437856,5.652838089918914,10.5
11964,0.35105316,95,9.4,2.2,0.2,7.7,43.5,16.9,8.6,11.9,11.1,64190,6407,6234,64190,106.9,7.285726099,3.23346741,0.447302643,4.844515065,8.191703486,15.49259239,42.4,35.0,7.5,11.2,3.1,6,25.534938147776664,31.3691073219659,43.09595453025744,9.39007525287337,1.677293393871485,4.605170185988092,1.6486586255873816,8.765926513729443,8.738575192110787,2.5084381087442438,2.1082072394486135,1.69512055826801,2.2869144538946835,2.579588108200567,3.020063474013597,8.0
826,0.605326877,89,2.4,9.7,0.0,5.2,40.0,25.9,18.9,32.6,31.4,38782,369,352,38782,70.2,0.391887452,0.304023797,0.04354305,0.267478737,0.456424473,0.895742748,41.9,31.5,7.9,12.3,3.6,4,23.849878934624698,26.997578692493946,49.152542372881356,6.7226297948554485,1.7237173736461266,4.543294782270004,1.6094379124341003,5.924255797414532,5.877735781779639,1.684895500246758,1.668465739487373,1.618108821215394,1.6615518300482877,1.6967937168184712,1.7742305223204948,9.1
19102,0.497330123,1514,9.5,1.0,0.0,10.6,47.0,14.9,12.4,16.4,14.5,52332,9323,8979,52332,93.9,9.856606172,2.412056825,0.376794676,7.510202965,9.485520507,24.85132156,46.3,34.7,10.4,13.0,3.2,6,22.929536174222594,37.47775102083551,39.59271280494189,9.857810039039476,1.7042625421962618,7.325807502595773,1.6094379124341003,9.140775908590273,9.10320049641828,2.698444626395145,2.0031079750154195,1.6820924114930962,2.526544548567832,2.673149564783497,3.3962291122254085,8.6
678701,2.86635794,11913,8.7,2.1,1.2,11.2,23.2,33.9,16.5,22.2,21.5,51372,329380,314530,51372,108.4,331.0218352,172.3127361,13.27974094,317.094302,367.6220968,937.3553727,37.5,27.3,6.0,11.4,3.2,3,24.213166033349,40.3731540103816,35.413679956269405,13.427943323083008,2.062595177678099,9.385805141306925,1.824549292051046,12.7049825583482,12.658850636688955,5.81717614356601,5.177915044115593,2.9057933941531546,5.774844366022345,5.920564760756881,6.84838245683122,6.2
580233,3.058943562,8757,7.9,2.5,0.8,5.6,20.6,44.1,7.0,8.0,7.7,85550,334242,324124,85550,118.9,294.9268123,228.9121062,9.066834645,254.9919901,277.4043903,742.56357,29.9,22.3,5.1,7.3,2.5,2,21.96962254818323,40.62212938595357,37.4082480658632,13.271193643181775,2.0867824762157303,9.078179468373843,1.7578579175523736,12.719635519606035,12.688896863682674,5.703538485893364,5.45494543026698,2.643819873890234,5.5606508232332805,5.643340051886345,6.6168193451271105,5.1
40571,1.636637007,1554,10.1,3.4,0.1,18.2,34.5,16.5,19.6,30.4,30.0,45680,19337,18561,45680,77.9,18.57025802,12.83141193,0.559228954,19.1989085,13.15537905,49.32013698,48.8,36.8,9.4,14.2,3.6,5,28.5524142860664,38.64090113627961,32.80668457765399,10.610932037796898,1.8926053603372355,7.351799869057777,1.62924053973028,9.870034176276908,9.829087229959878,3.159985663854605,2.880961617186248,1.7154594213077703,3.186307528839671,2.8989668831942006,3.9948950049703833,8.0
26887,0.836835646,326,12.3,1.3,-0.1,19.1,38.5,15.8,24.9,40.6,39.8,37148,11945,11251,37148,63.4,12.30678385,8.50356591,0.370609275,12.72339979,8.718263697,32.6851821,49.4,36.2,10.7,16.0,3.9,5,28.947074794510357,36.3484211700822,34.704504035407446,10.199584123588927,1.764188808552659,5.802118375377063,1.589235205116581,9.388486557359657,9.328656598794225,2.8510985546986385,2.602953792046646,1.6809413611164414,2.8748857885119747,2.6187280615924777,3.6292669694450956,9.1
13033,0.959103813,65,9.6,3.9,2.5,15.5,35.7,18.6,18.8,30.5,30.1,43714,4990,4745,43714,72.1,4.495414842,2.653202921,0.237485047,4.931333857,4.364639137,15.39248205,52.1,38.9,9.2,15.5,3.8,6,29.026317808639607,33.51492365533645,37.458758536023936,9.475623449484484,1.784920102824707,4.248495242049359,2.0149030205422647,8.516192691082654,8.465899897028686,2.2508090338838302,2.0351242426990503,1.6558414302561137,2.2956947950180275,2.2369408019982653,3.0151663059666376,9.4
3653,0.301122365,99,13.1,-3.0,1.1,19.5,32.4,19.6,20.4,31.5,30.4,39726,1466,1413,39726,65.5,1.260013076,0.743662263,0.066564327,1.382196162,1.22335815,4.314335681,47.1,35.4,9.1,15.1,3.9,6,28.77087325485902,32.02846975088968,39.2006569942513,8.204671828950811,1.6679185651197461,4.6443908991413725,1.8082887711792655,7.293697720601438,7.257002707092073,1.834182273927717,1.7480970317930058,1.6226629403617052,1.8535122641433237,1.828309656558342,2.231554684387445,9.7
93224,1.323693469,3934,12.7,-1.7,0.1,12.0,33.1,25.7,19.3,23.1,22.8,39790,41287,39332,39790,90.4,48.62966655,34.48473169,2.890935591,50.38487744,64.06519765,144.7016511,54.0,38.0,12.0,13.8,3.4,3,23.043422294688064,40.03582768385824,36.920750021453706,11.442814111072106,1.8443034471098472,8.278682162970906,1.62924053973028,10.62842405558548,10.57992083077393,3.982102395373416,3.6759140576877583,2.0657147071687465,4.014306586092926,4.235050951944686,5.0086443207568765,9.8
8732,0.297755383,1481,9.1,-1.6,11.8,23.9,40.8,15.8,21.0,26.1,22.3,42689,2847,2756,42689,77.0,5.067180298,2.497923103,0.088962631,4.753556275,3.39451884,11.93124176,49.3,36.7,11.6,13.8,3.7,6,22.858451672010993,44.0219880897847,33.11956023820431,9.075322160298095,1.6672832182097592,7.303843225277705,2.8213788864092133,7.955775781534187,7.923348211930154,2.3092806573912186,2.0146260625929524,1.6270740044867895,2.2776319646598946,2.12757897381844,2.8291605401771003,9.9
23771,0.887636195,180,8.3,3.2,0.5,5.1,35.1,24.3,8.2,10.0,8.9,68017,13933,13570,68017,111.9,12.43429354,7.523544921,0.543821454,12.47927125,13.39518107,37.60545796,43.7,35.4,6.7,9.8,2.9,3,24.870640696647175,33.18329056413277,41.94606873922006,10.076431947517486,1.7728545919836793,5.220355825078324,1.7047480922384253,9.542374201998465,9.515985144802135,2.858439159662278,2.527610466250154,1.712684056102046,2.8610156788548835,2.9120887319440074,3.751982366195275,7.1
127939,0.680793191,6071,11.0,-1.1,2.6,11.1,35.9,21.7,18.3,27.0,24.7,45689,54993,52227,45689,67.5,82.56173747,58.22072249,1.086769362,135.6497661,42.42328592,320.1910599,46.5,34.4,10.1,12.4,3.5,5,23.70661018141458,34.490655703108516,41.80273411547691,11.759347947170706,1.7370908692862397,8.712101863715663,2.028148247292285,10.915052099917071,10.863450612866469,4.472344115651028,4.146632134909453,1.8061174585360067,4.946272871941237,3.8591133722053326,5.784412886213358,8.8
131349,0.936436517,2084,10.4,-1.1,0.7,10.9,34.8,24.0,9.9,13.5,12.8,57939,62275,60266,57939,110.6,111.5203747,23.12670262,2.231183558,69.59352542,48.23236805,196.014326,48.8,37.2,10.1,12.5,3.2,3,22.433364547883883,35.76959093712171,41.797044514994404,11.785651247638203,1.781109040391808,7.644440761556566,1.7404661748405046,11.039395625947934,11.006606338342099,4.758066147843015,3.3367193962922577,1.97840272374132,4.31205371282657,3.9746666333264598,5.303376179151072,8.6
45313,0.386202635,863,12.6,-2.4,0.1,9.0,38.6,19.4,12.9,19.3,17.7,53409,23066,21934,53409,82.1,17.65065591,8.862670668,0.665055945,34.32328837,21.53074166,76.05110336,45.1,33.2,9.4,11.3,3.3,2,23.512016419129168,34.47355063668263,42.0144329441882,10.721459583541503,1.6838406162216155,6.7661917146603505,1.62924053973028,10.046331696565609,9.996021153939061,3.12018881000865,2.6291996640885267,1.7343167699828395,3.6718169227586928,3.2783041232809507,4.395079861414133,8.2
4599,0.304414003,47,9.0,6.8,0.7,14.4,46.9,11.6,16.9,27.3,28.1,39463,1977,1895,39463,72.5,2.565070778,0.499201659,0.091582861,2.860838378,2.053858253,8.156129355,49.3,37.2,11.3,13.2,3.6,5,27.440747988693193,32.92020004348772,39.63905196781909,8.434680769841773,1.6685393047016923,3.9512437185814275,1.7404661748405046,7.591861714889934,7.549609165154532,2.023541703178046,1.7046029287936313,1.6275887568760234,2.061893264620614,1.9535747370556817,2.576887760674338,9.7
903,0.221483942,0,6.5,2.2,0.0,9.0,27.7,26.3,7.8,10.2,10.2,67470,436,423,67470,111.3,0.311467782,0.183828914,0.016454308,0.341670718,0.302406901,1.06647827,47.3,35.0,8.3,12.6,3.3,6,26.910299003322258,32.55813953488372,40.53156146179402,6.811244378601294,1.652781641571251,1.6094379124341003,1.6094379124341003,6.089044875446846,6.059123195581797,1.6698682155130486,1.6455439558047553,1.6127233709995794,1.675538472578274,1.6681608497353793,1.802778250536838,8.9
102663,0.788015156,5863,10.5,1.3,-0.1,10.4,38.5,17.8,14.4,18.7,17.2,50301,47855,45708,50301,89.6,53.03776322,19.63776098,1.703812894,69.43476669,47.47841497,200.083842,47.2,36.7,9.6,13.0,3.3,4,26.052229138053633,36.46688680439886,37.48088405754751,11.539255760216259,1.7557894272868872,8.677269139262872,1.589235205116581,10.776035361462364,10.73013800032508,4.061093888679284,3.2042802652182707,1.9026764531840965,4.309923126911533,3.960401941626374,5.323418880892544,8.4
830839,5.380946248,28276,8.8,1.5,6.3,9.6,28.1,35.9,9.0,10.8,9.9,71767,450670,434714,71767,89.9,754.0224785,260.729995,9.028046917,1106.597804,237.257073,2494.389176,39.3,31.3,6.0,9.4,2.7,3,23.94735923566419,38.76804049882107,37.28460026551474,13.630197330583155,2.3399720342765007,10.24994548006426,2.424802725718295,13.018501737870238,12.98245512432628,6.6320313928991155,5.5824807368721,2.641058676797574,7.013553722335631,5.489999447455071,7.8238016514029525,6.2
54811,1.249749138,987,11.6,-3.0,0.6,5.9,32.3,32.3,11.6,15.9,15.1,52148,29407,28291,52148,93.8,45.04775837,22.76959423,1.392385259,32.96676863,45.78490351,91.89742708,41.9,30.7,8.4,11.0,3.3,6,19.01078250716097,32.3548192880991,48.634398204739924,10.911737401123846,1.8325413250227622,6.899723107284872,1.7227665977411035,10.289158033316113,10.250475730885316,3.912977716946038,3.3239416894006473,1.8551074787065096,3.6367112673828252,3.9275991354191957,4.57365296622222,8.6
51823,1.474248886,722,13.4,-5.5,0.2,9.1,31.6,30.4,10.4,17.7,16.9,59266,25525,23475,59266,71.3,28.66992784,19.73362368,0.428805382,48.78090025,14.7080246,117.7671101,45.9,36.4,8.6,14.0,3.6,3,18.935607741736295,30.3031472512205,50.76124500704321,10.855685822748702,1.867832598694668,6.588926477533519,1.6486586255873816,10.14760951023553,10.063904273942033,3.5166050900165433,3.2081636005198804,1.6917191064266477,3.9849183901948506,2.9810258929050093,4.810289146777473,8.8
392680,2.329886931,8776,9.6,3.4,1.4,9.6,26.2,34.1,16.7,25.9,23.9,49957,189210,182612,49957,106.1,170.0322348,27.23121615,11.46577522,117.1333173,219.5435369,473.8752781,47.0,34.7,7.6,12.8,3.2,3,25.36238158296832,40.17113171029846,34.46648670673322,12.880763042739552,1.9919600902679895,9.080345575359996,1.8562979903656263,12.150639213641261,12.115146342480912,5.16497015581813,3.4729354285935825,2.80128399762309,4.805113212854565,5.414069616665728,6.1714401837567445,7.6
82299,0.722973548,1238,13.7,-2.6,0.8,16.5,33.7,18.2,19.4,29.9,27.9,43337,36389,35025,43337,71.5,28.38702878,16.75408173,1.499637985,31.13971036,27.5612243,97.19833349,54.5,38.0,10.4,15.1,3.9,5,23.85448182845478,33.01862720081653,43.12689097072868,11.318174988157237,1.7444885213649117,7.1252830915107115,1.7578579175523736,10.502159204873188,10.463960116191533,3.5081674646711867,3.079801405674806,1.871746480735204,3.5873922707434778,3.483122141778778,4.626915371276576,10.2
44413,1.443271114,4828,9.2,0.3,1.0,13.0,41.5,16.9,10.7,14.1,12.8,61645,20584,19806,61645,109.8,22.94464586,8.495484044,0.737085825,30.03814707,20.5396184,86.55819208,46.7,33.6,9.0,11.8,2.9,2,22.653277193614482,41.09607547339743,36.25064733298809,10.701400071671154,1.863036348116474,8.483222671845084,1.791759469228055,9.932512231576744,9.893992617974327,3.330225619891317,2.6023551142224144,1.746951385417196,3.5564373842475976,3.2402309092241732,4.516974749148918,7.6
6941,0.576285838,0,14.3,-8.2,0.3,21.4,38.7,13.3,12.3,18.8,17.7,56872,3692,3547,56872,78.3,3.649089864,1.712904621,0.078229707,3.461664525,3.038735173,9.576619938,51.1,38.7,10.2,17.7,4.3,2,16.885175046823225,31.177063823656535,51.93776112952024,8.845921233304018,1.7185229343394834,1.6094379124341003,1.667706820558076,8.215276958936633,8.17526610411206,2.1574540973733,1.904031736751999,1.6249627179821078,2.13554590662899,2.084271754024246,2.6794188710346822,9.7
6196,0.613298903,978,11.2,-1.0,-0.2,8.8,34.0,20.4,11.9,14.2,13.7,50261,2722,2646,50261,86.4,3.494354981,1.77058669,0.295807151,2.564371347,3.807187005,8.114479625,49.0,39.8,8.2,12.7,3.2,6,19.86765655261459,38.54099418979987,41.59134925758554,8.732465848349879,1.7251385864574262,6.890609120147166,1.5686159179138452,7.910957382845589,7.8826922062890254,2.1394018229886225,1.9125877434352785,1.6669154038855953,2.023449243589025,2.1755680932756474,2.57371693468186,8.2
14134,0.353756898,277,11.3,0.3,-0.1,8.2,38.0,18.8,9.7,12.8,12.1,60044,7291,7130,60044,100.0,8.607192635,3.819945535,0.528433263,5.72320093,9.677493905,18.30259953,45.8,34.2,7.7,11.2,3.1,3,25.32191877741616,32.82864015848309,41.84944106410075,9.556692215591841,1.6777985383892942,5.641907070938114,1.589235205116581,8.895081531754167,8.872767529910936,2.610598523160029,2.1770156948295654,1.7099044594795074,2.372409705288693,2.6863152936946633,3.148564922159588,8.0
2139,0.187003273,41,10.8,-2.3,0.9,18.4,35.1,17.8,21.6,40.8,40.2,35881,841,807,35881,59.2,0.737795776,0.435448557,0.038976484,0.809339609,0.716332626,2.526242546,50.4,34.9,9.2,16.7,4.3,6,19.68209443665264,26.227208976157083,54.09069658719027,7.670428522190693,1.6461561263696425,3.828641396489095,1.7749523509116738,6.740519359606223,6.699500340161678,1.7470751254304864,1.6929420483544142,1.6172029828886034,1.7594668998596263,1.7433274504668992,2.0183959193957643,11.2
9017,0.188532771,123,15.0,-6.5,-0.3,17.1,44.6,12.2,22.0,33.2,30.2,34367,3461,3282,34367,63.2,5.029189652,0.978756546,0.179561351,5.609084508,4.026884076,15.99126297,58.1,40.4,14.9,17.9,4.7,6,20.294998336475548,26.649661750027725,53.05533991349673,9.107421317968342,1.6464509541268963,4.852030263919617,1.547562508716013,8.150756470275551,8.097730573664219,2.3054998062872287,1.788212610889462,1.644720371411599,2.361710663134917,2.2002072443148712,3.044106302103386,13.5
9475,1.203166227,1301,9.8,0.8,-0.2,14.1,37.9,14.9,13.3,15.6,14.2,58942,4604,4434,58942,100.3,2.626053259,1.651821848,0.137391609,4.405899106,2.813405453,9.636147868,51.4,34.3,8.8,11.7,3.2,6,21.65699208443272,40.12664907651715,38.21635883905013,9.156939595249067,1.8250598434716798,7.174724309836376,1.5686159179138452,8.435766192720509,8.398184404834035,2.0315704452819525,1.8948907792522611,1.6365454815949207,2.2413370569078097,2.0558409063308676,2.683494350139541,8.3
550210,15.28271024,17442,7.7,6.2,4.4,9.9,20.9,41.9,14.6,20.9,20.6,62937,288814,281072,62937,89.5,282.4013991,177.6775469,12.45311725,315.2501729,343.7844809,920.0598359,36.7,30.3,4.6,9.4,2.7,1,26.059868050380764,41.70789334981189,32.232238599807346,13.21806438991451,3.009768810819457,9.766922993079902,2.2407096892759584,12.57355547331046,12.546383932131203,5.66087984176112,5.20772255982725,2.859518271662877,5.769102480667408,5.85445419821242,6.829858422879742,5.6
295032,2.178746712,2340,8.5,2.5,2.0,10.4,28.7,30.1,12.5,17.5,16.0,60627,147320,143095,60627,115.6,123.081676,60.87349274,4.004071495,124.0101563,135.8482807,374.4096998,41.2,31.3,7.2,11.1,2.9,3,25.26268336993953,38.80528213888663,35.93203449117384,12.594856051185872,1.9711248151778071,7.76004068088038,1.9459101490553132,11.900396309706114,11.871298965544542,4.852668154174362,4.187736125992551,2.197676863372801,4.859891132270301,4.947683287645112,5.938616623331195,6.7
2171603,7.755100725,37611,6.9,7.2,0.7,20.5,26.5,20.3,14.9,21.4,20.5,63310,961030,922251,63310,84.1,846.1979059,434.6275348,19.70838512,1227.684168,834.339936,3226.410868,45.3,34.7,6.0,12.8,3.1,2,29.138336979641306,41.93091462850254,28.930748391856156,14.590978464926337,2.5459312484657697,10.535184770779852,1.7404661748405046,13.775766107684644,13.734578121265898,6.7466446584104816,6.0859278566006685,3.207142664566639,7.1169493211230055,6.732615792466004,8.080674122085203,5.8
1485941,2.930870068,21625,10.5,-0.5,8.6,11.8,24.5,35.7,12.2,18.5,17.1,61735,731004,704955,61735,111.4,862.2916811,425.0763117,15.13893971,808.9216863,577.6517087,2030.362038,41.2,29.3,8.5,13.6,3.6,2,21.236307498076975,35.049238159523156,43.71445434239987,14.211562164434014,2.070762748165319,9.981836518947105,2.6100697927420065,13.50218105055763,13.465896342596116,6.765375345922975,6.063962662011603,3.0026552399264155,6.701864152897549,6.367589595650345,7.618428987704467,8.7
163129,1.400731936,2694,9.0,3.0,0.5,9.4,36.4,21.8,10.9,15.0,13.9,57675,85397,82631,57675,94.9,85.33060747,51.63048923,3.73198645,85.639268,91.92471886,258.068266,43.8,34.6,6.9,10.4,3.0,4,25.642283101104034,36.960319746948734,37.39739715194723,12.002327227950946,1.8564123488264481,7.900636613018005,1.7047480922384253,11.355124798706184,11.32220069991152,4.503476356147442,4.036547519148966,2.1669928869228654,4.506887540782463,4.573934582959544,5.572413565036123,7.0
3532,0.113250283,143,11.5,-0.6,1.7,8.5,36.5,19.8,11.7,13.9,12.4,47279,2026,1977,47279,79.2,1.913129747,1.504873351,0.170259394,1.636687075,2.306740173,5.025398234,46.9,38.1,7.9,11.5,3.3,6,24.292185730464325,30.832389580973953,44.87542468856172,8.17103418920548,1.6318352652225412,4.997212273764115,1.9021075263969205,7.616283561580385,7.591861714889934,1.9334224653390044,1.8725516422899242,1.6429228601824153,1.8926129044911628,1.9887972335344595,2.3051216964934276,8.1
1249,0.240192154,29,5.6,7.2,0.8,7.5,32.9,26.1,10.7,9.8,9.9,55017,731,713,55017,96.5,0.669636775,0.571951918,0.080696186,0.479929951,0.765905909,1.35626222,41.2,33.3,6.2,10.2,3.0,6,25.060048038430743,33.70696557245797,41.23298638911129,7.134093721192866,1.6563581682712873,3.5263605246161616,1.7578579175523736,6.601230118728877,6.576469569048224,1.7351250548411161,1.7177454266628112,1.6254482966888415,1.7010923182139916,1.7519622808381825,1.8494405033300925,7.6
65263,0.306452354,650,13.4,-3.6,0.1,10.5,48.0,16.2,9.2,13.6,13.1,49436,32148,30533,49436,81.2,35.68631591,28.88843708,1.014076377,52.8746557,36.71058401,136.4009164,48.5,37.1,9.5,13.1,3.4,2,21.02569602990975,33.40483888267472,45.56946508741554,11.086257149210962,1.668923505379845,6.484635235635252,1.62924053973028,10.378261037909617,10.326727088743457,3.7058918174869433,3.5230738671167456,1.7941027843526718,4.058279563360625,3.730754909789086,4.951599234346705,8.8
11931,0.243064286,102,9.8,1.1,-0.1,18.7,40.1,11.0,22.0,34.3,33.2,39687,4355,4100,39687,88.7,8.333439142,0.427458288,0.39549879,4.710031039,4.382446183,13.5068829,56.0,42.3,11.5,15.4,3.9,4,24.742268041237114,35.91484368451932,39.34288827424357,9.387314322443542,1.6569061148160087,4.672828834461906,1.589235205116581,8.38022733634308,8.31996102188653,2.5902751010643397,1.6914709374344674,1.685565048560668,2.2731594788995664,2.2388405161193017,2.918142711539991,10.0
