TOT_POP,% Asian-alone,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,0-19 %,20-49 %,50+ %,TOT_POP_log,% Asian-alone_log,GQ_ESTIMATES_2018_log,R_INTERNATIONAL_MIG_2018_log,Civilian_labor_force_2018_log,Employed_2018_log,Total nurse practitioners (2019)_log,Total physician assistants (2019)_log,Total Hospitals (2019)_log,Internal Medicine Primary Care (2019)_log,Family Medicine/General Practice Primary Care (2019)_log,Total Specialist Physicians (2019)_log,Heart disease_prevalence
13953,0.537518813,313,14.2,-4.2,1.1,16.5,37.4,18.5,14.9,20.7,18.4,50031,6525,6338,50031,96.4,4.002162523,4.557723545,0.442325655,4.667420308,7.997247836,16.49697762,50.5,35.3,10.3,14.2,3.6,6,25.37805489858812,34.580376979860965,40.041568121550924,9.543808099577097,1.7115465327469728,5.762051382780177,1.8082887711792655,8.784162222270476,8.755107121633896,2.1974648288068566,2.257349575799599,1.6942064796217344,2.2687615011759674,2.5647376301258094,3.067912349437958,10.0
2074,0.241080039,0,5.3,0.5,0.0,8.2,38.3,21.3,12.8,16.5,14.2,47482,1197,1163,47482,66.0,1.054194106,0.818229415,0.032408731,0.911450034,0.991561503,2.654238632,39.8,27.3,8.4,11.5,3.7,6,21.55255544840887,29.556412729026036,48.89103182256509,7.639642287858013,1.6565275914072912,1.6094379124341003,1.6094379124341003,7.091742115095153,7.0630481633881725,1.8007512725235955,1.7609959912309645,1.6158987424508093,1.7768911539466479,1.7903520631298921,2.035259563941074,9.0
149960,3.726993865,3455,5.2,6.4,1.8,6.3,22.5,39.8,5.4,6.5,5.6,108421,70084,68014,108421,149.3,78.83842617,37.00722908,1.690149377,74.78910995,65.65173988,206.902453,38.0,30.9,5.3,9.0,2.3,2,28.627634035742865,41.61109629234463,29.76126967191251,11.918157212518603,2.1664209651902087,8.14902386805177,1.916922612182061,11.157521142022066,11.127542356894752,4.428891448569249,3.7378417244246376,1.90063620229146,4.379387028351343,4.257762735578895,5.356126041422446,5.0
2042,0.244857982,49,15.1,7.3,0.0,18.9,37.1,13.7,35.2,38.8,39.9,32780,758,721,32780,57.5,1.094794471,0.935088724,0.131930835,0.78464128,1.252185642,2.217363854,60.0,45.7,11.9,18.2,5.1,6,33.74142997061704,31.537708129285015,34.720861900097944,7.624130585661289,1.6572481646465953,3.9889840465642745,1.6094379124341003,6.637258031284457,6.587550014824796,1.807435041445886,1.780881977233801,1.6354819694607012,1.7552063500799822,1.8329311053365653,1.976489769058715,12.8
5899,0.525512799,102,12.8,-0.8,-0.2,7.3,31.9,19.1,13.7,20.1,19.4,45966,2894,2812,45966,79.0,3.326856042,1.68571512,0.281627887,2.441450384,3.624692728,7.725518933,47.2,40.6,8.3,12.6,3.3,6,26.292591964739785,34.209187997965756,39.49822003729446,8.683385366280309,1.7093760573954786,4.672828834461906,1.5686159179138452,7.972121128921655,7.943427767876373,2.119485959005286,1.8999731786546048,1.6642343621316313,2.0070657739318927,2.1546293365436813,2.543609342194472,8.2
187149,1.470486083,1250,9.1,2.4,0.4,10.1,31.1,26.9,8.9,11.7,10.5,66171,98706,95960,66171,126.4,158.8967301,32.95144438,3.179040356,99.15841528,68.72255935,279.2856062,43.5,31.2,8.7,11.5,2.9,2,25.65442508375679,38.30637620291853,36.03919871332468,12.1396870863342,1.867251234438854,7.134890851565884,1.6863989535702288,11.499951668046466,11.47173882063998,5.099236534971147,3.6363075631964237,2.1015748278401873,4.645912964058806,4.300308849372083,5.649979388462148,7.5
28248,0.555791561,5560,9.8,0.7,2.0,22.7,37.2,14.6,37.1,41.2,37.2,33111,9073,8570,33111,74.0,19.73036534,1.012056132,0.936388384,11.15153439,10.37593997,31.97908208,56.8,44.7,10.1,16.7,4.0,3,24.00877938261116,45.783772302463895,30.20744831492495,10.248954925626595,1.7148409081696354,8.624252263709645,1.9459101490553132,9.113609183016411,9.056606272034141,3.208031854574223,1.793766808507155,1.7811009322961522,2.7820150538243587,2.732803948083999,3.6103524035849244,9.0
80695,1.458578598,6636,9.0,0.6,1.0,12.1,37.3,22.9,13.2,16.9,16.1,55517,36428,34831,55517,82.1,52.07418696,36.72157201,0.685458333,85.55841359,26.75765058,201.9541936,44.8,35.1,8.8,10.9,3.0,5,21.6556168287998,39.941755994795216,38.402627176404984,11.29849385425804,1.8654092623147294,8.801017833540714,1.791759469228055,10.503230236323834,10.458406613812631,4.044351947198321,3.7310183094322857,1.7379117454127464,4.505995096523166,3.45813365946135,5.332497481821276,7.4
286419,6.209783569,4096,8.0,3.2,1.7,6.0,21.3,35.7,8.7,9.9,9.2,72400,137697,131144,72400,97.8,115.4328178,72.52084833,3.496812393,142.4570962,167.8850037,422.5441671,38.8,29.6,5.9,9.8,2.8,3,23.576299058372523,40.188325495166175,36.235375446461305,12.565228509440379,2.4167869299396134,8.31898612539206,1.9021075263969205,11.83284720893952,11.784089360408917,4.791092068823126,4.350546910892086,2.13969108057323,4.993537260247715,5.152626654977378,6.058057597894004,6.3
5779,0.259560478,62,10.3,1.5,0.2,23.8,35.9,12.8,23.7,37.1,36.0,37911,2566,2450,37911,62.5,1.993324819,1.176464335,0.105303927,2.186616923,1.935337188,6.82522472,53.1,39.9,9.4,17.4,4.3,3,29.243813808617407,33.56982176847205,37.186364422910536,8.6628507638386,1.6600474639427552,4.204692619390966,1.6486586255873816,7.852050207265889,7.805882040228621,1.9449560968064499,1.8207459936722235,1.6302799850060876,1.9722205356882496,1.9366296737816506,2.4702349380029234,10.3
